Source A A_err E E_err I I_err C C_err time
152Eu 71690 1133.45 121.7817 0.0003 0.2841 0.0013 143169 415 893
152Eu 71690 1133.45 244.6974 0.0004 0.0755 0.0004 34517 214 893
152Eu 71690 1133.45 344.2785 0.0012 0.2659 0.0012 104186 342 893
152Eu 71690 1133.45 411.1165 0.0012 0.0224 0.00010 7784 113 893
152Eu 71690 1133.45 778.9045 0.0024 0.1297 0.0006 31734 189 893
152Eu 71690 1133.45 867.380 0.003 0.0424 0.00023 9557 124 893
152Eu 71690 1133.45 1112.076 0.003 0.1341 0.0006 27477 174 893
152Eu 71690 1133.45 1212.948 0.011 0.0142 0.00009 2719 67 893
152Eu 71690 1133.45 1299.142 0.008 0.0163 0.00009 2982 61 893
152Eu 71690 1133.45 1408.013 0.003 0.2085 0.0008 36332 194 893
