Source A A_err E E_err I I_err C C_err time
56Co 6214.8 0621.48 846.7638 0.0019 0.999399 0.000023 39497 204 1790
56Co 6214.8 0621.48 1037.8333 0.0024 0.14030 0.00050 4899 80 1790
56Co 6214.8 0621.48 1238.2736 0.0022 0.66410 0.00160 21093 149 1790
56Co 6214.8 0621.48 1360.196 0.004 0.04280 0.00013 1268 42 1790
56Co 6214.8 0621.48 1771.327 0.003 0.1545 0.0004 3930 66 1790
56Co 6214.8 0621.48 2015.176 0.005 0.03017 0.00014 696 30 1790
56Co 6214.8 0621.48 2034.752 0.005 0.07741 0.00013 1810 46 1790
56Co 6214.8 0621.48 2598.438 0.004 0.1696 0.0004 3368 59 1790
56Co 6214.8 0621.48 3201.930 0.011 0.03203 0.00013 507 24 1790
56Co 6214.8 0621.48 3253.402 0.005 0.0787 0.0003 1262 36 1790
56Co 6214.8 0621.48 3272.978 0.006 0.01855 0.00009 287 19 1790
